words,definition
soft real time system,<span> Hệ thống thời gian thực mềm</span>
hard real time system,"<p>Một hệ thống thời gian thực cứng (hard real time system) không bao giờ có thể bỏ lỡ deadline của nó. Nếu chức năng không được hoàn thành trong thời hạn quy định, ứng dụng được coi là đã thất bại. Điều này có thể gây ra tổn thất lớn nếu hệ thống được đề cập đến ảnh hưởng đến vật chất xung quanh hoặc tính mạng con người. Ví dụ về hệ thống thời gian thực cứng (hard real time system) như hệ thống điều khiển động cơ ô tô. Tín hiệu bị trễ có thể gây ra hư hỏng hoặc hỏng hóc động cơ. Xem soft real time system.</p>"
deadline,<p>Các phần mềm thời gian thực (real-time software) phải đảm bảo đáp ứng trong các giới hạn thời gian cụ thể được gọi là deadline.</p>
real-time software,<span> Phần mềm thời gian thực</span>
data mirroring,<p>Data mirroring là hành động sao chép dữ liệu từ một vị trí sang một thiết bị lưu trữ (storage device) trong thời gian thực (real time). Data mirroring rất hữu ích trong việc khôi phục nhanh chóng dữ liệu quan trọng sau thảm họa.</p>
redundancy,"<p>Trong máy tính, thuật ngữ redundancy được sử dụng cụ thể hơn và đề cập đến các thiết bị trùng lặp được sử dụng cho mục đích sao lưu. Mục tiêu của redundancy  là ngăn ngừa hoặc phục hồi sau sự cố của một thành phần (component) hoặc hệ thống cụ thể.</p>"
communication link,<span> Liên kết truyền thông</span>
logical network,<span> Mạng logic</span>
physical computer network,<span> Mạng máy tính vật lý</span>
packet-switched network,<span> Mạng chuyển gói </span>
sender,<p>Xem source.</p>
origin,<p>Xem source.</p>
receiver,<p>Xem destination.</p>
processing delay,<span> Độ trễ xử lý</span>
queueing delay,<span> Thời gian trễ xếp hàng</span>
medium,<span> Phương tiện truyền đạt</span>
propagation delay,<span> Trễ trên đường truyền</span>
unguided transmission media,"<p>Unguided transmission media còn được gọi là wireless media. Chúng vận chuyển dữ liệu dưới dạng sóng điện từ (electromagnetic wave) mà không cần bất kỳ dây cáp (cable) nào để truyền tải dữ liệu. Chúng bị giới hạn bởi ranh giới địa lý. Loại giao tiếp này thường được gọi là truyền thông không dây (wireless communication).</p>"
guided transmission media,<p>Guided transmission media còn được gọi là bounded media hoặc wired media. Chúng bao gồm cáp (cable) hoặc dây dẫn (wire) qua đó dữ liệu được truyền đi. Chúng được gọi là guided vì chúng cung cấp một đường dẫn vật lý từ thiết bị người gửi đến thiết bị người nhận. Tín hiệu (signal) truyền qua bị giới hạn bởi các giới hạn vật lý của phương tiện truyền dẫn (transmission medium).</p>
transmission medium,<span> Phương tiện truyền dẫn</span>
transmission delay,<span> Trễ do tốc độ truyền</span>
delay,<span> Độ trễ</span>
network collision,<span> Xung đột mạng</span>
data collision,<span> Xung đột dữ liệu</span>
collision,<span> Sự xung đột</span>
CMYK,"<p>CMYK iết tắt của ""Cyan Magenta Yellow Black."" Đây là bốn màu cơ bản dùng để in ảnh màu. Không giống như RGB (đỏ, lục, lam), được sử dụng để tạo hình ảnh trên màn hình máy tính của bạn, các màu CMYK là ""subtractive"". Điều này có nghĩa là màu sắc trở nên tối hơn khi bạn pha trộn chúng với nhau. Vì màu RGB được sử dụng cho ánh sáng chứ không phải sắc tố nên màu sắc sẽ sáng hơn khi bạn pha trộn chúng hoặc tăng cường độ của chúng.</p>"
clean room,"<p>Clean room là một phòng được kiểm soát và tinh chế cao để sản xuất các thiết bị nhạy cảm với ô nhiễm. Ví dụ, việc sản xuất bộ vi xử lý (microprocessor) được thực hiện trong clean room, vì lượng bụi nhỏ nhất có thể tạo ra sai sót trong quá trình sản xuất của chúng. Do đó, không khí trong clean room được lọc liên tục. Các khía cạnh khác như nhiệt độ, độ ẩm và áp suất cũng có thể được điều chỉnh.</p>"
circuit,"<p>Trong điện tử, mạch điện (circuit) là một đường dẫn kín cho phép dòng điện chạy từ điểm này sang điểm khác. Nó có thể bao gồm các thành phần điện khác nhau, chẳng hạn như bóng bán dẫn, điện trở và tụ điện.</p>"
circuit,<p>Circuit đề cập đến kênh giao tiếp (communication channel)</p>
circuit,"<p>Trong lý thuyết đồ thị (graph theory), một circuit được định nghĩa là một walk đóng (closed walk) trong đó các đỉnh (vertex) có thể lặp lại nhưng các cạnh (edge) không được phép lặp lại.</p>"
camera raw,"<p>Ảnh camera RAW là ảnh chưa qua xử lý được chụp bằng máy ảnh kỹ thuật số (digital camera). Nó chứa dữ liệu hình ảnh thô được chụp bởi cảm biến (sensor) của máy ảnh (hoặc CCD), được lưu ở định dạng file độc quyền dành riêng cho nhà sản xuất máy ảnh.</p>"
CAD,"<p>CAD viết tắt của ""Computer-Aided Design"". CAD là việc sử dụng máy tính để tạo ra các thiết kế 2D và 3D. Các loại CAD phổ biến bao gồm thiết kế layout  hai chiều và mô hình ba chiều.</p>"
stream,<span> Luồng</span>
video streaming,<p>Video streaming là quá trình truyền liên tục các fle video từ máy chủ (server) đến máy khách (client). Video streaming cho phép người dùng xem video trực tuyến mà không cần phải tải xuống.</p>
burn,"<p>Khi bạn ""burn"" một đĩa nghĩa bạn ghi dữ liệu trên đó..Lý do thuật ngữ ""burn"" được sử dụng là vì trình ghi đĩa CD (CD-writer) hay burner, ghi dữ liệu vào một đĩa CD có thể ghi. Tia laser trong trình ghi đĩa CD có thể được điều chỉnh lên đến mức mạnh hơn tia laser trên đĩa CD-ROM thông thường. Điều này cho phép nó khắc hàng nghìn số 1 và số 0 lên đĩa CD.</p>"
boot sector,"<p>Boot sector là một phần dành riêng của đĩa cứng (hard disk) hoặc thiết bị lưu trữ (storage device) khác chứa dữ liệu được sử dụng để khởi động (boot) hệ thống máy tính. Nó bao gồm bản ghi khởi động chính (MBR), được truy cập trong boot sequence.</p>"
biotech,<span> Công nghệ sinh học</span>
biometric authentication,<span> Xác thực sinh trắc học</span>
biometric,<span> Sinh trắc học</span>
random seed,"<p>Khi đề cập đến lập trình máy tính, bảo mật hoặc phần mềm, random seed là một số hoặc giá trị khác được tạo bởi phần mềm bằng cách sử dụng một hoặc nhiều giá trị. Ví dụ: thông tin phần cứng, thời gian hoặc ngày là các ví dụ khác nhau về các giá trị giúp tạo ra một giá trị ngẫu nhiên được sử dụng bởi một chương trình hoặc mã hóa (encryption).</p>"
random,<span> Ngẫu nhiên</span>
RAD,"<p>RAD viết tắt của ""rapid application development"", RAD mô tả một phương pháp phát triển các chương trình phần mềm thông qua việc sử dụng các công cụ (tool) hoặc wizard. Mặc dù RAD có thể làm giảm thời gian phát triển chương trình nhưng nó có thể làm giảm hiệu quả của chương trình.</p>"
bespoke system,"<p>Các công ty máy tính, chẳng hạn như Dell, HP và Apple có thể cung cấp cho khách hàng các tùy chọn tùy chỉnh cho hệ thống mà họ mua. Ví dụ: một người có thể chọn xây dựng hệ thống của mình bằng cạc đồ họa cao cấp để sản xuất video, trong khi người khác có thể chọn cạc đồ họa cơ bản nhưng có thể thêm RAM bổ sung để máy tính của họ có thể chạy nhiều chương trình cùng một lúc. Những cấu hình tùy chỉnh này đôi khi được gọi là bespoke system.</p>"
bespoke website,"<p>Bespoke website là một website được xây dựng tùy chỉnh thường là làm từ đầu, để phù hợp với nhu cầu của một doanh nghiệp hoặc tổ chức. Điều này có thể bao gồm layout tùy chỉnh, tích hợp cơ sở dữ liệu (database) tùy chỉnh và các tính năng bổ sung khác mà khách hàng có thể yêu cầu. Bởi vì các bespoke website  phải được điều chỉnh riêng theo nhu cầu của khách hàng, chúng thường mất nhiều thời gian hơn để phát triển và đắt hơn so với các trang web được xây dựng từ các template.</p>"
bespoke software,"<p>Bespoke software là phần mềm được tùy chỉnh cho một mục đích cụ thể. Các chương trình bespoke có thể bao gồm phần mềm kế toán tùy chỉnh cho một công ty nhất định hoặc một công cụ giám sát mạng cho một mạng cụ thể. Bởi vì phần mềm bespoke được tùy chỉnh cho một mục đích cụ thể, các chương trình bespoke cũng được coi là phần mềm thị trường dọc (vertical market softwar).</p>"
bespoke,"<p>Thuật ngữ ""bespoke"" xuất phát từ nước Anh, nơi ban đầu nó dùng để chỉ quần áo đặt may hoặc đặt may. Tuy nhiên, trong những năm gần đây, thuật ngữ này đã được áp dụng cho công nghệ thông tin (CNTT), và dùng để chỉ các dịch vụ hoặc sản phẩm tùy chỉnh. Xem bespoke software, bespoke website, bespoke system để hiểu rõ thuật ngữ.</p>"
predictive text,<span> Tiên đoán văn bản</span>
VoiceOver,"<p>VoiceOverlà một trình đọc màn hình (screen reader) để mô tả to những gì xuất hiện trên màn hình máy tính của bạn: nó đọc văn bản trong tài liệu (document) và cửa sổ (window). Sử dụng VoiceOver, bạn điều khiển máy tính chủ yếu bằng bàn phím, màn hình chữ nổi (braille display) hoặc bàn di chuột (trackpad), thay vì chuột (mouse).</p>"
speech to text,"<p>Speech to text còn được gọi là dictation, tính năng này dịch các từ đã nói thành văn bản, thường dành cho những người gặp khó khăn khi sử dụng bàn phím. Một số hệ điều hành cho phép người dùng nói các lệnh thông thường như mở hoặc thoát chương trình.</p>"
assistive technology,<span> Công nghệ hổ trợ</span>
parse,"<p>Parse dữ liệu hoặc thông tin có nghĩa là chia nhỏ dữ liệu hoặc thông tin thành các phần thành phần để cú pháp (syntax) của nó có thể được phân tích, phân loại và hiểu. Nếu một lỗi xảy ra trong khi parse thông tin, một parse error sẽ được tạo ra. </p>"
OR operator,<span> Toán tử OR</span>
ARP,<p>Xem Giao thức ARP (ARP protocol).</p>
APM,"<p>APM viết tắt của ""Actions Per Minute"". APM là chỉ số trò chơi điện tử đo số lượng hành động (action) mà người chơi thực hiện mỗi phút. Ví dụ: nếu một người chơi trung bình thực hiện một hành động mỗi giây, thì APM của họ là 60. Nếu một người chơi thực hiện trung bình 2,5 hành động mỗi giây, người đó có APM là 150.</p>"
third party plug-in,<span> Plug-in của bên thứ ba</span>
third party software,<span> Phần mềm của bên thứ ba</span>
third party hardware,<span> Phần cứng của bên thứ ba</span>
third party,<span> Bên thứ ba</span>
third party,<span> Bên thứ ba</span>
third party,<span> Bên thứ ba</span>
Ad Hoc Network,<span> Mạng Ad Hoc</span>
ACID,"<p>Viết tắt của ""Atomicity, Consistency, Isolation, Durability"". Từ viết tắt ACID xác định bốn đặc điểm mà cơ sở dữ liệu (database) phải có để đảm bảo tính toàn vẹn (integrity) của dữ liệu. Cụ thể, những đặc điểm này áp dụng cho các hoạt động ghi dữ liệu vào cơ sở dữ liệu. Ví dụ bao gồm chèn, cập nhật và xóa bản ghi (record). Bốn đặc điểm gồm: tính nguyên tử (atomicity), tính nhất quán (consistency), tính độc lập (isolation), tính bền vững (durability).</p>"
claims section,<p>Tương đương với payload trong access token. Xem payload.</p>
access token,"<p>Access token là một đoạn mã nhỏ chứa một lượng lớn dữ liệu. Thông tin về người dùng, quyền (permission), nhóm (group) và timeframe được nhúng trong một access token được truyền  từ máy chủ (server) đến thiết bị của người dùng.</p>"
API monitoring,"<span> Giám sát API, theo dõi API</span>"
API health,"<p>API health đề cập đến tính khả dụng (availability), hiệu năng (performance) và tính đúng đắn (correctness).</p>"
web service,"<p>Web service là một ứng dụng có thể truy cập được thông qua giao thức HTTP hoặc HTTPS. Không giống như các ứng dụng web (web application), web service được thiết kế để giao tiếp với các chương trình khác, thay vì giao tiếp với người dùng.</p>"
web service,"<p>Web service là một máy chủ (server) chạy trên thiết bị máy tính, lắng nghe các yêu cầu (request) tại một cổng (port) cụ thể qua mạng, phục vụ các tài liệu web (HTML, JSON, XML, hình ảnh).</p>"
modular programming,<span> Lập trình mô đun</span>
flat,"<p>Trong SQL,  dữ liệu hàng (row) là flat, với một cột (column) cho mỗi giá trị trong hàng. Tuy nhiên, trong MongoDB, các document có thể chứa các document con (subdocument) được nhúng.</p>"
overloading,"<p>Overloading đề cập đến một tập hợp các quy trình trong lập trình máy tính mà theo đó một từ hoặc ký hiệu đặc biệt có thể có nhiều nghĩa. Xem thêm function overloading, operator overloading để hiểu rõ thuật ngữ này.</p>"
overload,<span> Quá tải</span>
overflow error,<span> Lỗi tràn</span>
operator associatively,"<p>Operator associatively là thứ tự mà các toán tử (operator) thực hiện, thường thực hiện từ trái sang phải. Ví dụ: nếu bạn có 5-4 + 3, operator associatively sẽ thực thi 5-4 trước khi thêm 3.</p>"
programmable,<span> Lập trình được</span>
program listing,<span> Danh sách chương trình</span>
program list,<span> Danh sách chương trình</span>
program generator,<span> Trình tạo chương trình</span>
POD,"<p>Khi đề cập đến Perl, POD là viết tắt của ""plain old documentation"". Nó là một ngôn ngữ đánh dấu (markup language) đơn giản cho phép các lập trình viên khối comment vào chương trình Perl của họ. Ví dụ: trong mã Perl dưới đây có in ""Hello World!"" Perl bỏ qua POD ở cuối script. POD bắt đầu bằng ""= pod"" và sau đó kết thúc bằng ""= cut"".</p>"
phrase tag,<span> Thẻ phrase</span>
pickling,"<p>Khi đề cập đến ngôn ngữ lập trình Python, pickling là một thuật ngữ mà các lập trình viên sử dụng khi nói về serialize đối tượng. Pickle là một cơ chế để serialize các đối tượng (object). Khi một lập trình viên sử dụng pickle để serialize một đối tượng, họ được cho là pickling hoặc Python pickling. Ngược lại, nếu một lập trình viên đang deserialize một đối tượng, thì người đó được cho là đang unpickling.</p>"
pastebin,<p>Pastebin là một ứng dụng Web cho phép người dùng tải lên (upload) và chia sẻ văn bản trực tuyến. Việc sử dụng phổ biến nhất là để chia sẻ mã nguồn (source code) hoặc thông tin cấu hình.</p>
operation code,"<p>Operation code là một phần của chỉ thị (instruction) ngôn ngữ máy (machine language) hướng dẫn máy tính phép toán (operation) nào nên thực hiện. Bên cạnh operation code, hầu hết các chỉ thị cũng chỉ định dữ liệu mà chúng sẽ xử lý, dưới dạng operand.</p>"
one-pass compiler,"<p>One-pass compiler là trình biên dịch (compiler) chỉ xử lý mã nguồn (source code) một lần. One-pass compiler rất nhanh, nhưng các chương trình mà chúng tạo ra có thể không hiệu quả. Trái ngượi với multi-pass compiler.</p>"
compression ratio,<span> Tỷ lệ nén</span>
bom zip,"<p>Bom zip là một file nén tiêu tốn một lượng lớn dung lượng lưu trữ khi được giải nén. Khi mở zip bomb, nó có thể nhanh chóng chiếm hết dung lượng trống trên thiết bị lưu trữ.</p>"
Zero Day Exploit,"<p>Zero day exploit là một cuộc tấn công máy tính độc hại lợi dụng một lỗ hổng bảo mật trước khi lỗ hổng được biết đến. Điều này có nghĩa là vấn đề bảo mật được phát hiện cùng ngày khi cuộc tấn công máy tính được bắt đầu. Nói cách khác, nhà phát triển phần mềm không có ngày nào để chuẩn bị cho vi phạm bảo mật và phải làm việc càng nhanh càng tốt để phát triển bản vá (patch) hoặc bản cập nhật (update) khắc phục sự cố.</p>"
obtuse,<span> Tù</span>
object module,"<p>Còn được gọi là object file, object module là một phần code trong lập trình hướng đối tượng (object-oriented programming) được sử dụng bởi các object module khác hoặc chương trình đang được tạo. Các object module chứa một chức năng cụ thể, chẳng hạn như kích hoạt một thiết bị trên máy tính.</p>"
obfuscation,"<p>Obfuscation là code có chủ đích phức tạp để giúp che giấu những gì code thực hiện. Lập trình viên có thể làm điều này để giúp ngăn chương trình bị sửa đổi, bị đánh cắp hoặc ngăn chương trình đọc mã và hiểu ý định thực sự.</p>"
SRE,"<p>Viết tắt của ""Site Reliability Engineering"". SRE là một cách tiếp cận có cấu trúc để phát triển phần mềm bắt nguồn từ Google. Mục tiêu của SRE là tạo ra và duy trì các ứng dụng phần mềm đáng tin cậy và có thể mở rộng.</p>"
legacy class,"<p>Trong thập kỷ trước, Collection framework không bao gồm trong Java. Trong phiên bản đầu tiên của Java, chúng ta có một số lớp (class) và interface cho phép chúng ta lưu trữ các đối tượng (object). Sau khi thêm Collection framework trong JSE 1.2, các lớp này đã được thiết kế lại. Vì vậy, các lớp và interface trong phiên bản Java cũ hơn được gọi là legacy class. Để hỗ trợ chung trong JDK5, các lớp này đã được thiết kế lại. Gói java.util xác định các legacy class sau:HashTable, Stack, Dictionary, Properties, Vector, HashTable, Stack, Dictionary , , Properties, Vector.</p>"
Java collection framework,"<p>Java collection framework cung cấp một kiến trúc để lưu trữ và thao tác với một nhóm đối tượng. Một Java collection framework bao gồm những thứ sau đây: Interface, Lớp (Class), Thuật toán (Algorithm).</p>"
object wrapper,"<p>Object wrapper là một lớp (class) bao bọc một kiểu dữ liệu nguyên thủy (primitive data type) hoặc một đối tượng (object) khác. Nó có thể được sử dụng trong Java, chẳng hạn để chuyển đổi một kiểu dữ liệu nguyên thủy char thành một lớp (class) character. Bằng cách chuyển đổi kiểu dữ liệu nguyên thủy thành một lớp, nhà phát triển có thể sử dụng một phương thức chẳng hạn như toUpperCase () để sửa đổi dữ liệu. Object wrapper cũng có thể được sử dụng để chuyển đổi các thuộc tính (property) của legacy class thành các thuộc tính tương thích với code mới hơn.</p>"
driver wrapper,"<p>Driver wrapper cho phép driver hoạt động với một hệ điều hành không tương thích khác. Ví dụ: card đồ họa cũ hơn có thể chỉ hỗ trợ driver được thiết kế cho Windows 7. Nếu driver Windows 10 không khả dụng, driver wrapper có thể đóng vai trò như một adapter, cho phép card đồ họa sử dụng driver Windows 7 trong Windows 10. Driver wrapper có thể được cung cấp bởi nhà sản xuất thiết bị gốc (OEM) hoặc nhà phát triển bên thứ ba.</p>"
function wrapper,"<p>Function wrapper đóng gói một hoặc nhiều hàm (function). Ví dụ: function ""gửi thư"" của một trang web có thể bao gồm nhiều hàm xử lý dữ liệu form, kiểm tra thư gửi để tìm thư rác và gửi thư bằng mail server. Function wrapper cũng có thể bao bọc một hàm để cho phép nó hoạt động với code mới hơn hoặc cũ hơn. Ví dụ: nó có thể thay đổi hoặc thêm các tham số (parameter) để làm cho một hàm tương thích với một API mới hơn.</p>"
wrapper,"<p>Trong khoa học máy tính, wrapper là bất kỳ thực thể (entity) nào đóng gói (bao bọc xung quanh) một mục (item) khác. Wrapper được sử dụng cho hai mục đích chính: chuyển đổi dữ liệu sang định dạng tương thích hoặc để che giấu sự phức tạp của thực thể bên dưới bằng cách sử dụng tính năng trừu tượng (abstraction). Ví dụ bao gồm object wrapper, function wrapper và driver wrapper.</p>"
wizard,"<p>Theo thuật ngữ máy tính, wizard là một phần của chương trình hướng dẫn bạn qua các bước nhất định. Ví dụ, wizard  trong Microsoft Word sẽ giúp bạn tạo và định dạng một tài liệu (document) mới theo nhu cầu của bạn. Điều này rất hữu ích khi tạo sơ yếu lý lịch, đề cương, hóa đơn, v.v.</p>"
wizard,<p>Wizard là một thuật ngữ được sử dụng để mô tả một cá nhân rất thành thạo với máy tính hoặc lập trình.</p>
WIMP,"<p>Viết tắt của ""Windows, Icons, Menu, Pointer."" WIMP là một từ viết tắt xuất hiện vào những năm 1980 và mô tả giao diện người dùng đồ họa (GUI) của máy tính cá nhân. Nó bao gồm cả giao diện Windows và Macintosh, cũng như các hệ điều hành khác ít phổ biến hơn, chẳng hạn như Linux và NeXT.</p>"
waveform,"<p>Waveform là hình ảnh đại diện cho tín hiệu âm thanh hoặc bản ghi âm (recording). Nó cho thấy những thay đổi về biên độ trong một khoảng thời gian nhất định. Biên độ của tín hiệu được đo trên trục y (dọc), trong khi thời gian được đo trên trục x (ngang).</p>"
wallpaper,<span> Hình nền</span>
blacklist,<span> Danh sách đen</span>
whitelist,<span> Danh sách trắng</span>
virus definition,"<p>Virus definition là một chuỗi nhị phân (một chuỗi bao gồm các số một và số không) xác định một loại vi-rút cụ thể. Bằng cách kiểm tra một chương trình hoặc file dựa trên virus definition, phần mềm chống vi-rút (antivirus software) có thể xác định xem chương trình hoặc file có chứa vi-rút hay không.</p>"
outer scope,"<p>Trong Javascript outer scope là scope chứa scope khác, scope được chứa gọi là inner scope.</p>"
inner scope,<p>Trong Javascript inner scope là scope nằm bên trong scope khác.</p>
parent function,<span> Hàm cha</span>
vertical market,<span> Thị trường dọc</span>
vertical market software,<span> Phần mềm thị trường dọc</span>
scope chain,"<p>JavaScript sử dụng scope chain để tìm các biến có thể truy cập trong một scope nhất định. Khi một biến được tham chiếu, JavaScript sẽ tìm kiếm nó trong scope  hiện tại và tiếp tục đến scope cha cho đến khi nó đạt đến global scope. Chuỗi scopes được duyệt qua này được gọi là scope chain.</p>"
outer function,<p>Outer function là một hàm (function ) nằm bên ngoài hoặc chứa hàm khác (inner function).</p>
lexical scope,"<p>Trong lexical scope, khi ta truy cập / truy xuất một biến (variable), giá trị của biến đó được tìm bằng cách tìm kiếm trong hàm (function) chứa biến đó và nếu không tìm thấy thì tìm kiếm trong outer function và cứ tiếp tục như vậy. Nói một cách đơn giản hơn là lexical scope có nghĩa là trong một nhóm hàm lồng nhau (nested function), các inner function có quyền truy cập vào các biến (variable) trong outer function.</p>"
DevOps toolchain,"<p>DevOps toolchain là danh sách các bước mà nhóm phát triển (development team) và nhóm vận hành (operations team) có thể tuân theo khi phát hành một chương trình phần mềm. Nó bao gồm toàn bộ quá trình phát triển, từ lập kế hoạch ứng dụng phần mềm đến bảo trì chương trình sau khi nó đã được phát hành.</p>"
toolchain,<p>Xem software toolchain.</p>
toolchain,<p>Xem DevOps toolchain.</p>
software toolchain,"<p>Software toolchain là một tập hợp các công cụ phát triển phần mềm (software development tool) được sử dụng kết hợp với nhau để hoàn thành các nhiệm vụ phát triển phần mềm phức tạp hoặc để cung cấp một sản phẩm phần mềm. Bản thân mỗi công cụ (tool) trong chuỗi (chain) là một phần mềm phục vụ một chức năng khác nhau và được tối ưu hóa để hoạt động cùng với các công cụ khác trong chuỗi. Các chương trình trong software toolchain gồm trình hợp dịch (assembler), trình biên dịch (compiler), trình liên kết (linker), trình gỡ lỗi (debugger) và thư viện (library). Các công ty có thể tùy chỉnh các software toolchain của họ để phù hợp với nhu cầu phần mềm của họ. Một số nhà cung cấp (vendor) phần mềm cũng cung cấp các toolchain của riêng họ.</p>"
epoch time,"<p>Timestamp trong Unix còn được gọi là epoch time, tương đương với số giây kể từ ngày 1 tháng 1 năm 1970, lúc 12:00 AM GMT.</p>"
timestamp resolution,"<p>Timestamp resolution là thời gian tối thiểu đã trôi qua giữa timestamp liền kề. Nếu resolution của timestamp quá lớn, khả năng hai hoặc nhiều timestamp bằng nhau sẽ tăng lên. Ví dụ: giả sử rằng chúng ta có một hệ thống có thể tạo một trăm timestamp duy nhất mỗi giây và cho hai sự kiện xảy ra cách nhau 2 mili giây, chúng có thể sẽ được cấp cùng một timestamp mặc dù chúng thực sự xảy ra ở những thời điểm khác nhau.</p>"
timestamp,"<p>Timestamp là một ngày và giờ cụ thể được ""đóng dấu"" trên một bản ghi (record) hoặc file kỹ thuật số. Trong khi hầu hết thường được sử dụng như một danh từ, từ ""timestamp"" cũng có thể là một động từ. Ví dụ: ""Tweet được timestamp vào ngày 8 tháng 1 năm 2021, lúc 10:44 sáng.""</p>"
text area,"<p>Text area là một hộp (box) lớn hơn text field cho phép bạn nhập nhiều dòng văn bản. Nói chung, nhấn Enter trong một text area sẽ nhập một ký tự dòng mới (tạo ngắt dòng). Khi bạn nhấn Enter trong khi nhập vào text field, con trỏ (cursor) sẽ chuyển đến trường (field) tiếp theo hoặc giá trị sẽ được gửi (submit).</p>"
text field,<span> Trường văn bản</span>
on-screen keyboard,<span> Bàn phím ảo</span>
text box,<span> Hộp văn bản</span>
technical debt,<span> Nợ kỹ thuật</span>
user space,<span> Không gian người dùng</span>
system call,<span> Lời gọi hệ thống</span>
widening conversion,<span> Ép kiểu nới rộng</span>
narrowing conversion,<span> Ép kiểu hẹp</span>
explicit type conversion,<span> Ép kiểu tường minh</span>
automatic type conversion,<p>Xem ép kiểu ngầm định (implicit type conversion).</p>
implicit type conversion,<span> Ép kiểu ngầm định</span>
typecasting,<p>Xem type conversion.</p>
type conversion,<span> Ép kiểu</span>
bug-free code,<p>Bug-free code là code không có lỗi (bug) trong chương trình.</p>
bug free,<p>Bug free nghĩa là không có lỗi (bug).</p>
strict evaluation,<p>Xem lazy evaluation để hiểu rõ thuật ngữ này.</p>
lazy evaluation,"<p>Trong lý thuyết ngôn ngữ lập trình, lazy evaluation là một chiến lược  trì hoãn việc việc tính toán một biểu thức (expression) cho đến khi giá trị của nó là cần thiết và tránh các tính toán lặp lại. Nhiều ngôn ngữ lập trình tính toán các biểu thức ngay lập tức, nhưng nó có thể trở nên kém hiệu quả vì không phải tất cả các biểu thức đều đáng được tính toán. Đối lập với lazy evaluation là strict evaluation hoặc eager evaluation, trong đó một biểu thức được tính toán ngay lập tức.</p>"
idempotent function,"<p>Trong lập trình, idempotent function là bất kỳ hàm nào (function) thỏa mản một trong hai trường hợp sau: (1) hàm có side effect và được thực thi nhiều lần mà không làm thay đổi kết quả cuối cùng SAU lần gọi đầu tiên của nó, (2) là pure function. </p>"
mutable object,<p>Mutable object là một đối tượng (object) có thể được sửa đổi thông qua thao tác với thuộc tính (property) hoặc thông qua phép gán (assignment).</p>
formal verification,<span> Xác minh chính thức</span>
invocation,<span> Gọi</span>
immutability,<span> Tính bất biến</span>
functional purity,"<p>Trong lập trình hàm (functional programming), functional purity có nghĩa là các hàm (function) của chúng ta không có các tác dụng phụ (side effect) ví dụ như thay đổi biến toàn cục (global variable).</p>"
composability,"<p>Trong lập trình hàm (functional programming), composability nghĩa là chúng ta xây dựng các mô đun (module) và hệ thống lớn hơn từ các mảnh nhỏ, có thể tái sử dụng.</p>"
single responsibility principle,"<p>Single responsibility principle (SRP) là một nguyên tắc lập trình máy tính quy định rằng mọi mô-đun (module), lớp (class) hoặc hàm (function) trong chương trình máy tính chỉ làm MỘT công việc của chương trình đó, dẫn đến nó chỉ nên có một lý do để thay đổi.</p>"
code duplication,<span> Code trùng lặp</span>
plain object,"<p>Trong JavaScript, plain object là loại đối tượng (object) đơn giản nhất, nó một tập hợp các cặp key-value, được tạo bởi ký hiệu {} hoặc được tạo bằng new Object().</p>"
first-order function,<p>First-order function là hàm chỉ nhận các đối số (argument) thuộc kiểu dữ liệu đối tượng (object) hoặc kiểu dữ liệu nguyên thủy (primitive type) và chỉ trả về (return) giá trị thuộc kiểu dữ liệu nguyên thủy hoặc đối tượng. Xem thêm higher-order function.</p>
first-class function,<p>Để hiểu rõ thuật ngữ này hãy xem first-class citizen.</p>
first-class citizen,"<p>Nếu bất kỳ ngôn ngữ lập trình (programming language) nào có khả năng coi các hàm (function) là giá trị (do đó có thể gán hàm vào biến), truyền chúng dưới dạng đối số (argument) và trả về (return) một hàm từ một hàm khác thì người ta nói rằng ngôn ngữ lập trình có first-class function và các hàm được gọi là first-class citizen trong ngôn ngữ lập trình đó. Ví dụ như ngôn ngữ lập trình Javascript.</p>"
higher-order function,<p>Higher-order function trong JavaScript là một loại hàm (function) đặc biệt chấp nhận các hàm như một đối số (argument) hoặc/và trả về (return) là hàm.</p>
impure functional language,<p>Impure functional language là loại ngôn ngữ lập trình hàm (functional language) hỗ trợ mô hình lập trình hàm (functional paradigm) và lập trình mệnh lệnh (imperative programming). Ví dụ - LISP. Xem thêm pure functional language.</p>
pure functional language,<p>Pure functional language là  ngôn ngữ lập trình hàm (functional language) CHỈ hỗ trợ các mô hình lập trình hàm (functional paradigm). Ví dụ - Haskell. Xem thêm impure functional language.</p>
functional programming,<span> Lập trình hàm</span>
procedural programming,<span> Lập trình thủ tục</span>
system tray,<p>Xem systray.</p>
systray,"<p>Systray viết tắt của ""system tray"", nằm ở phía bên phải của thanh công cụ (toolbar) của Windows. Nó là tập hợp các icon nhỏ ở phía đối diện của Start Menu. Điều khiển âm lượng và ngày và giờ là các mục mặc định trong systray và nhiều mục khác có thể được thêm vào. Một số icon phổ biến được đặt trong systray là biểu tượng quét vi-rút, chuột và tin nhắn tức thời. Chúng thường được đưa vào systray (cho dù bạn muốn hay không) khi các chương trình tương ứng của chúng được cài đặt.</p>"
